organ_label,as_label,cell_label,sex,modality,tool,organ_id,as_id,cell_id,count,percentage_of_total
left breast,main lactiferous duct,mast cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000097,0.224,0.0001029674861775343
left breast,main lactiferous duct,mature NK T cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000814,0.262,0.0001204351847255089
left breast,main lactiferous duct,plasma cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000786,2.214,0.001017723278558308
left breast,mammary lobe,mature NK T cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000814,3.328,0.0004202223946211533
left breast,mammary lobe,B cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000236,5.375999999999999,0.0006788207913110937
left breast,main lactiferous duct,B cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000236,5.754,0.002644977301185413
left breast,main lactiferous duct,vascular associated smooth muscle cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000359,13.58,0.006242403849513019
left breast,mammary lobe,mast cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000097,14.336,0.001810188776829583
left breast,main lactiferous duct,vein endothelial cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0002543,20.148,0.00926155764064715
left breast,main lactiferous duct,endothelial cell of lymphatic vessel,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0002138,23.038,0.01059002208284838
left breast,main lactiferous duct,T cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000084,23.422,0.01076653777343843
left breast,mammary lobe,endothelial cell of lymphatic vessel,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0002138,36.352,0.004590121541246444
left breast,mammary lobe,pericyte,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000669,38.144,0.004816395138350141
left breast,main lactiferous duct,macrophage,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000235,66.18,0.03042137605013046
left breast,mammary lobe,plasma cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000786,74.49600000000001,0.009406516679596586
left breast,mammary lobe,endothelial cell of artery,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:1000413,115.968,0.01464313421256788
left breast,mammary lobe,vascular associated smooth muscle cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000359,116.48,0.01470778381174037
left breast,main lactiferous duct,pericyte,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000669,118.406,0.05442842932293362
left breast,mammary lobe,macrophage,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000235,176.64,0.02230411171450736
left breast,main lactiferous duct,basal cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0000646,198.422,0.09120988634963711
left breast,mammary lobe,vein endothelial cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0002543,241.152,0.0304499612102405
left breast,main lactiferous duct,endothelial cell of artery,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:1000413,265.992,0.1222702124256014
left breast,main lactiferous duct,fibroblast of breast,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:4006000,285.16,0.1310812873142218
left breast,mammary lobe,basal cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000646,482.048,0.06086759762089474
left breast,mammary lobe,T cell,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:0000084,921.088,0.1163046289113007
left breast,main lactiferous duct,luminal epithelial cell of mammary gland,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0015134,CL:0002326,1152.642,0.5298421839403819
left breast,mammary lobe,fibroblast of breast,Female,sc_transcriptomics,popv,FMA:57991,UBERON:0018140,CL:4006000,1396.48,0.1763317817429532
